zu,en,source
Ngeminye imininingwane xhumana ne-National Treasury ku: csd@treasury. gov.za noma ku: 012 406 9222.,For more information contact the National Treasury at: csd@treasury.gov.za or at: 012 406 9222.,Newspaper
"Imidlalo ingama-double header, lokhu kusho ukuthi uzobuka imidlalo emibili ngethikithi elilodwa .","The games are double headers, which means you will be watching two games with one ticket.",Newspaper
Labo abangawulandeli lomthetho bangahlawuliswa imali engafi nyelela ku-R2 000 noma banikwe isigwebo sokudonsa ejele iminyaka emibili noma kokubili.,Those who do not comply with this law can be fined up to R2 000 or sentenced to two years or both.,Newspaper
"Lena akusiyona nje inkundla ejwayelekile, inkundla yethu ikwazi ukubamba izinhlobonhlobo zemicimbi kanti isizakhele igama uma kuziwa ekubambeni imicimbi esezingeni lomhlaba.","This is not just a regular venue, our venue is capable of hosting a wide variety of events and has made a name for itself when it comes to hosting world-class events.",Newspaper
Yonke imibuzo: Simphiwe Masondo: Ucingo: 031-322 5111 noma e-mail: Simphiwe.,All questions: Simphiwe Masondo: Tel: 031-322 5111 or e-mail: Simphiwe.,Newspaper
"Kubaluleke kakhulu ukuphepha kwabasubathi kithina, yingakho sizovala eminye imigwaqo eThekwini,� kusho uNxumalo.","The safety of athletes is very important to us, which is why we will close some roads in Durban, � said Nxumalo.",Newspaper
Siyithumele kuwowonke umuntu osebenza kuleli hhovisi i-email yakho.,We have sent your email to everyone working in this office.,Newspaper
Ukuchelela kusenelanga kumosha amanzi ngoba amanzi ahamba nokushisa kwelanga � Ungacheleli uma kunomoya ngoba amanzi asheshe ashabalale � Sebenzisa amanzi angcolile ukuchelela ingadi yakho.,Watering the plants while the sun is out is a waste of water because water evaporates from the heat of the sun � Do not water the plants when it's windy because the water vanishes quickly � Use grey water to water your garden.,Newspaper
"Uthe lolu hlelo lokubhalisa kabusha lwabazohlomula lungabiza u-R15m, okuhlanganisa ukuthuthukiswa kwe-call centre lapho abantu bengashaya kule nombolo ukuze bathole usizo noma benemibuzo 0800 601011.","He said the beneficiary re-registration process could cost R15m, which included the development of a call center where people could call this number for help or if they have questions 0800 601011.",Newspaper
Lo mbukiso okhula minyaka yonke futhi onesasasa uzobe uqeda iminyaka engu-15 kulonyaka.,This annual growing and exciting exhibition will mark the 15th anniversary this year.,Newspaper
U-Eskom uqale uhlelo lokunqamuka kukagesi ezinsukwini ezisisishiyagalombili ezedlule ukuze ehlise izinkinga eziteshini zikagesi ezahlukene.,Eskom has started a load shedding plan eight days ago to alleviate problems at various power stations.,Newspaper
Ukuntuleka kwamathuba omsebenzi yikhona okugqame kakhulu njengasona sizathu esenza intsha igcine yenze okungalungile ngenxa yokuthi iningi layo lithembele emalini yesibonelelo sikahulumeni.,Unemployment is the most common reason why young people end up doing wrong because most of them rely on social grants.,Newspaper
Umthamo wamanzi emadamini aphakela izindawo ezakhele uMasipala weTheku wehle kakhulu ngenxa yesomiso.,The volume of water in the dams supplying the areas surrounding EThekwini Municipality has decreased significantly due to the drought.,Newspaper
"Okwamanje, lolu lwazi alukakakhishwa.","For now, this information has not been released.",Newspaper
Ezinye zezinto asethe wazizuza zihlanganisa ekuqokelweni esikhundleni sokuba iNhloko ye- Security Management ePhalamende likazwelonke ngo 2005.,Some of his achievements include his appointment as Head of Security Management in the National Assembly in 2005.,Newspaper
Isaziso somphakathi Abanikazi bezindlu abangasatholakali kwiphro jekthi yezindlu eBroksfarm No.,Public notice Homeowners no longer available on the housing project in Broksfarm No.,Newspaper
"Lo mqhudelwano uyadlondlobala, waqala ngebhola lezinyawo kanye nezokusubatha kodwa kulonyaka kwengezwe ne-netaball nesizumbulu semali engu- R 30 000.","The tournament is booming, starting with football and athletics but this year netaball and a whopping R30 000 have been added.",Newspaper
Siyeke ukulahla ezindaweni ezingafanele!,Stop throwing garbage in the wrong places!,Newspaper
Uthe ukusebenza nabakhu-bazekile kuhlukile. �Akusi-bona abantu abakhubazekile kuphela esengike ngasebe-nzisana nabo.,He said working with people living with disabilities was different. �I have not only worked with people living with disabilities.,Newspaper
"Le phrojekthi ehlongozwayo isafakelwe isicelo sokuchibiyela ukugunyazwa ngokwezemvelo ngokwemithethonqubo yokugunyazwa ngokwezemvelo, ka-2014.",The proposed project is still being applied for to amend the environmental authorization in terms of the 2014 environmental authorization regulations.,Newspaper
Leli komidi liphinde libhekelele ukuhlinzeka ngokubambisana phakathi kobuholi ukuze kutholakale okungcono phakathi kwezinhlaka zeziNhlelo zokuQashwa koMphakathi.,The committee is also responsible for providing co-operative leadership in order to achieve the best among the structures of the Public Employment Programs.,Newspaper
Baqala ukubonana ngesikhathi uNtombikayise ethunywe edolobheni eyobheka izinto ezincane nje zokudla.,They first met when Ntombikayise was sent to town to look for a few groceries.,Short Story
IKhansela lase Wadi 80 uNojiyeza Mthokozisi uthe: �Umndeni siyawuseka.,"Ward 80 Councilor, Nojiyeza Mthokozisi, said: �We support the family.",Newspaper
Ilanga ebelikhipha umkhovu etsheni alizange libavimbe abafundi base- Mayville Primary namalungu omphakathi ekuhlanzeni indawo ezungeze isikole.,The scorching sun did not stop Mayville Primary pupils and community members from cleaning up the area around the school.,Newspaper
"Kuthe ngo-2008 bese kunohlelo lokuvimbela lokhu, lusebenzile futhi belulokhu luthuthukiswa njalo nje,� kuchaza uMaphumulo.","Then in 2008 there was a plan to prevent this, it worked and it was constantly being developed, � explained Maphumulo.",Newspaper
Siphinde sibheke nekhalende laHulumeni kazwelonke izinhlelo zentsha ziyingxenye yalokhu.,We are also looking at the national Government's calendar and youth programs are part of this.,Newspaper
Umhleli Imvula yakamuva ishiye ingxenye yomgwaqo uFremantle Road oseMount Vernon igugulekile.,Editor The recent rains have left part of Fremantle Road in Mount Vernon eroded.,Newspaper
Isithombe: SIMPHIWE DLAMINI IPhini leMeya uNomvuzo Shabalala noMphathi Dolobha uSibusiso Sithole bebethamele i-Innovation Summit bagcizelele ukubaluleka kweqhaza lentsha.,"Picture: SIMPHIWE DLAMINI Deputy Mayor, Nomvuzo Shabalala and City Mayor, Sibusiso Sithole attended the Innovation Summit and emphasized the importance of role of the youth.",Newspaper
"Kuthiwa labafanyana abathathu, uSamkelo Mchunu, Ndumiso Nene noMandla Nzuza bashona nje kade bebuya ukuyozingela.","It is alleged that these three young boys, Samkelo Mchunu, Ndumiso Nene and Mandla Nzuza, died shortly after returning from hunting.",Newspaper
SinguMasipala sikhathazekile ngesibalo esikhulayo sezindawo zokulahla ezingekho emthethweni.,"As a Municipality, we are concerned about the growing number of illegal dumping sites.",Newspaper
Essential Requirements: �Matric/Grade 12. �Valid motor vehicle drivers license (Code B). �18 Months relevant experience. �Computer Literacy.,Essential Requirements: �Matric/Grade 12. �Valid motor vehicle driver’s license (Code B). �18 Months relevant experience. �Computer Literacy.,Newspaper
Isipiliyoni sabasebenzi Uhlelo lokufakwa emsebenzini kwabafundi selwethulwe ezikhungweni eziningi ezweni.,Staff experience: The student placement program has been introduced in many institutions across the country.,Newspaper
IMnyango ethintekayo isazokwenza uphenyo baphakamise ukuthi amiswe.,The relevant departments are yet to investigate and recommend the suspension.,Newspaper
Zibanjelwe eDurban Exhibition Centre ngesikhathi kuqhubeka inqgunqguthela e-ICC.,They were held at the Durban Exhibition Centre while the conference was underway at the ICC.,Newspaper
Le phrojethi ibandakanya nokuhlinzekwa kwezindlu zangasese ezisebenzisa amanzi kuzona zonke izindlu.,The project also includes the provision of flushed toilets for all households.,Newspaper
"Lezi zinsiza zinikelwe ngokubambisana nguMnyango wezeMfundo KwaZulu-Natali njengengxenye yokugqugquzela intshisekelo yezibalo, isayensi nezobuchwepheshe kubafundi.","These resources are provided in partnership with the KwaZulu-Natal Department of Education as part of promoting interest in mathematics, science and technology in students.",Newspaper
IMenenja kaMasipala uSibusiso Sithole uthe inkulumo kaMengameli ibiqukethe imininigwane nendlela eyaphambili. �Kulonyaka sizo bhekana nokwakha amathuba ngeke sigxile kuphele kwinqalasizinda.,"Municipal Manager, Sibusiso Sithole, said the President's address contained details and a way forward. �This year we will focus on creating opportunities and not just focusing on infrastructure.",Newspaper
"Lomdlalo wakhiwe sengathi minyaka yama 1989, ngezikhathi zezimpi zombangazwe eLamontville, KwaZulu-Natal.","The play is set in 1989, during the political upheaval in Lamontville, KwaZulu-Natal.",Newspaper
Usuku lokuvala: 2 Agasti 2013 .,Closing date: 2 August 2013.,Newspaper
Lokho kungasiza ekutheni ungahlale ubuyela ukuyothenga into eyodwa njalo. � Ngabe ikhona yini enye indlela engingayisebenzisa ukwanelisa izidingo zami engakhinyabezi imvelo?,That can help keep you from going back and forth to buy the same thing over and over again. � Is there any other way I can use to meet my needs without harming the environment?,Newspaper
"Ekhuluma ngomhlaka 25 Agasti, uMoolla uthe lezi zakhiwo zombili zisenkabeni yeDolobha okuyilapho kutholakale khona izaphulamthetho eziningi.","Speaking on August 25, Moolla said that the two buildings were located in the heart of the City where many criminals were found.",Newspaper
Yonke imibuzo: Ucingo: 031-311 7678 (Jacques van Heerden).,All questions: Phone: 031-311 7678 (Jacques van Heerden).,Newspaper
"Ngaphandle kwalokhu, le ndawo isahamba phambili ngokuba nezinyokanyoka.","Despite this, the area is still leading in terms of snake bites.",Newspaper
Zonke lezi zindawo zisizwa yiMbumbulu Agri-Hub.,All of these areas are assisted by Mbumbulu Agri-Hub.,Newspaper
"Kodwa, uma sisebenzisana, abahlali namabhizini baseThekwini, singakwazi ukwehlisa umonakalo ongadalwa yisomiso ngokuthi sishintshe indlela esiwasebenzisa ngayo amanzi.","However, if we work together, Durban residents and businesses, we can reduce the impact of the drought by changing the way we use water.",Newspaper
Lokhu kudale ukuthuka okukhulu kwizakhamizi.,This has caused a huge shock to the residents.,Newspaper
Lokho kwenzeke emuva kokuba udoti wemithi ugeleze wayongena emabhishi aseThekwini muva nje ngesikhathi kunemvula enkulu ngoMeyi.,That happened after tree trash flowed into Durban's beaches recently during heavy rains in May.,Newspaper
"Abaphula umthetho kumele babhekane nengalo yomthetho, iyona ndlela engasisiza sinciphise izingozi zomgwaqo ezifaka amatekisi.","Violators must face the full force of the law, which is the only way we can help reduce road accidents involving taxis.",Newspaper
Bonke osomabhizinisini bazobe bedingeka ukuba benze izethulo zabo ngabakufundile kwezamabhizinisi.,All entrepreneurs will be required to make representations on their business experience.,Newspaper
Kunomunye umgwaqo owakhiwayo ozohlanganisa uCurnick Ndlovu Highway Kanye nePhoenix Industrial Park kanti iDolobha litshale imali enguR24 million kule phrojekthi.,Another road is being constructed to connect Curnick Ndlovu Highway and Phoenix Industrial Park and the City has invested R24 million in this project.,Newspaper
"Akukho luhlelo lokugudluza noma ukususa abahlali baseSouth Durban Basin ngoshova, okuyinto etshelwa abantu bekhohliswa.","There is no plan to remove or evict the residents of the South Durban Basin by force, which is a misleading thing that people are told to do.",Newspaper
S�CELO KHUZWAYO UMASIPALA usubeke eqhulwini ukuhlinzeka ngezindlu kanye nokuqhamuka namasu azosiza ekutheni kuqedwe inkinga yokwanda kwemijondolo eThekwini namaphethelo.,S�CELO KHUZWAYO THE MUNICIPALITY has prioritized the provision of housing and come up with strategies that will help alleviate the problem of slum growth in Durban and surrounding areas.,Newspaper
Lokhu kuyakhombisa ukuthi uHulumeni uyalalela futhi uyanakekela izakhamizi.,This shows that the government listens and cares for the citizens.,Newspaper
"Eminye imininingwane itholakala ku-Braveman Hlubi noma kuLuthando Tshambula kulezi zinombolo yocingo 031- 311 4374/75, phakathi kuka- 08:00 no16:00.","Further information is available from Braveman Hlubi or Luthando Tshambula on 031- 311 4374/75, between 08:00 and 16:00.",Newspaper
Kulo mcimbi kumukeliswe abantu abangu-12 abakhethwe wumphakathi ngokuthumela amagama alabo abakhethiwe kuMasipala.,"12 people who were nominated by the community were nominated by submitting their nominations to the Municipality, received awards in this event.",Newspaper
Sicela amavolontiya kanye nomphakathi wonke ukuba baxhumane noMasipala umakwenzeka bebona udoti wemithi ngoba kubalulekile ukuphepha kwabo.,We urge volunteers and the general public to contact the Municipality should they see medical waste as their safety is important.,Newspaper
Leli qembu lagcina ukuwina ngo-2004 oThukela njengoba likuphinda futhi lokhu kuyo lendawo.,The team last won in 2004 in Uthukela as they repeat this in the same area.,Newspaper
Kufanele kufikwe ngo-09:30 umhlangano ube uzozoqala ngo-10:00.,Arrival time should be 09:30 and the meeting will start at 10:00.,Newspaper
"Phakathi komaskandi abazobe besiphula izidindi kuguga imbadada kulo mcimbi kukhona uKhuzani'Idlamlenze' Mpungose, Osaziwayo, Izintombi zikaMjaphani, noDlubheke.","Khuzani'Idlamlenze 'Mpungose, Celebrities, Mjaphani Girls, and Dlubheke will be among the maskandis who will be at this event.",Newspaper
Sizozivakashela ke izindawo zenu maduze nje.,We will be visiting your places soon.,Newspaper
"Usuku lokugcina lokulethwa kwemibono umhla ka 21 Septhemba 2012, ngo-11:00 ekuseni.","The deadline for submissions is 21 September 2012, at 11:00 am.",Newspaper
UMoolla uthe ukuvalwa kwalezi zakhiwo kumele kube yisexwayiso nakubanikazi bamanye amabhilidi abangayilandeli imithetho yeDolobha.,Moolla said the closure of these buildings should also serve as a warning to owners of the other buildings that do not comply with the City by-laws.,Newspaper
"Lokhu kuvele embikweni wophenyo obelwenziwa yiSpecial Reference Group (SRG), ebiholwa yiJaji uNavi Pillay.","This is according to a report by the Special Reference Group (SRG), that was led by Judge Navi Pillay.",Newspaper
Lokhu kuza emuva kokuthi kuqalwe kwabekwa imihlahlandlela yokumele kwenziwe kanye nezexwayiso ezahlukene.,This comes after initial guidelines were issued and various warnings.,Newspaper
"I-eThekwini Safe Schools Project � Road Safety Campaign, wumkhankaso phakathi komkhakha ozimele nokahulumeni okunguMasipala weTheku neGlobal Road Safety Partnership (GRSP).","The eThekwini Safe Schools Project � Road Safety Campaign, is a campaign between the private and public sectors namely eThekwini Municipality and the Global Road Safety Partnership (GRSP).",Newspaper
Ukongiwa kukagesi: Leli gatsha libhekelela ukwehliswa kwenani likagesi osetshenziswa nguMasipala weTheku liphinde ligqugquzele ukongiwa kukagesi yizinkampani ezizimele kanye nabantu jikelele. 3.,Power saving: This branch is responsible for reducing the amount of electricity used by the eThekwini Municipality and promoting energy conservation by the private sector and the general public. 3.,Newspaper
Kulindeleke ukuthi iKumisa ingenele umkhankaso wokunxenxa abaculi bakuyo yonke imikhakha ukuthi bajoyine lenhlangano.,Kumisa is expected to join the campaign to attract artists from all walks of life to join this organisation.,Newspaper
"Nami ngizimisele ukumsiza ngemali, kodwa inkinga asazi ukuthi uya kuphi uma ufuna indlu engabiza mhlambe la kuR50 000.","I am also willing to help her financially, but the problem is we do not know where you go to if you're looking for a house that can cost up to R50 000.",Newspaper
Lomcimbi wasitshengisa ukuthi uMasipala weTheku unobubele futhi uyakuthakasela ukuthi izimpilo zabantu abakhele khona bathuthuke bendawonye.,The event showed us that the eThekwini Municipality is compassionate and interested in the lives of the people living there in order for them to grow together.,Newspaper
Isimo sesinzima kakhulu manje asisabekezeleleki.,"The situation is now more serious than ever, it is unbearable.",Newspaper
"Zonke izimvilophi kufanele zibhalwe ngokucacile ukuthi, �REQUEST FOR QUOTATIONS: CONDUCT A SOCIO-ECONOMIC IMPACT ASSESSMENT OF THE DURBAN BUSINESS FAIR 2012�.","All envelopes should be clearly marked, �REQUEST FOR QUOTATIONS: CONDUCT A SOCIO-ECONOMIC IMPACT ASSESSMENT OF THE DURBAN BUSINESS FAIR 2012�.",Newspaper
Ukubhalisa kwi-QMS kudinga ikheli le-email.,Registering to QMS requires an email address.,Newspaper
"EThekwini esezemfundo zihamba phambili yingakho emasontweni ambalwa sobe sivula omunye umtapo wolwazi eMkhomazi sophinde sakhe eminye emithathu kulonyaka wesabelo zimali,� kusho uNxumalo.","In Durban, education is the best and that is why in a few weeks we will be opening another library in Umkhomazi and building three more in this financial year, said Nxumalo.",Newspaper
Kwakuyizwi likamfundisi elalehlisiwe ligcwele ukuncenga.,It was the pastor's voice that was lowered and full of pleading.,Novel
"Abafisi-ke ukuphikisana nendlela izinto eziyiyona njengamanje.""","They don't want to oppose the way things are going right now.""",Novel
"Ngikwenza ngibona ukuthi ngiyakwenza.""","I do it knowing that I am doing it. """,Novel
Phela unguNkulunkulu omnene ngempela.,He is indeed a gentle God.,Novel
Ngifi sa ukubona ukubambisana phakathi koMkhandlu nabahlali kanye nethimba labaphathi.,I would like to see a partnership between the Council and the residents and the management team.,Newspaper
Ezinye izivakashi zahlala isikhathi esengeziwe ngenxa yokujabulela ukuba seThekwini.,Some visitors stayed for longer because they enjoyed being in Durban.,Newspaper
"Kuphinde kwavela ukuthi ngenxa yokuthi umgwaqo abahlala eduze kwawo awulungisiwe kahle, uma kuna indlu yabo ingenwa ngamanzi.","It also emerged that because the road they were living close to was not well maintained, when it rained their house is flooded.",Newspaper
Imali ebizwayo sekufakwe ne-VAT.,Amount quoted and VAT included.,Newspaper
"Ibhizinisi kufanele libe nerekhodi lezimali elamukelekile SIFAKWA KANJANI ISICELO: AMAFOMU OKUFAKA izicelo atholakala eReception yakwa-Business Support, kwanombolo 75 Dr.","The business must have an acceptable financial record HOW TO APPLY: APPLICATION FORMS are available at the Business Support Reception, at 75 Dr.",Newspaper
Lo mhlangano wawubanjelwe e-iTrump Hall ku-Warwick Junction.,The meeting was held at Trump Hall in Warwick Junction.,Newspaper
Ukubungazwa kwalezinsuku nakho kuzoba nomthelela omkhulu ekuxwayiseni abantu ngezinto ezimbi ezidalwa ukuhlukunyezwa kwabesifazane nezingane.,These day celebrations will also play a key role in raising awareness of the serious consequences of abuse of women and children.,Newspaper
Lokhu kudingekile ukuze akhiphe isitifiketi sokungena ekupheleni kwesakhiwo siqinisekise ukuthi isakhiwo sakhiwe ngokwamaplani avunyelwe futhi.,This is required in order to issue a certificate of occupation when the building is complete in order to ensure that the building is constructed in accordance with approved plans.,Newspaper
Manje sekuzoba ngumlando kulaba bafundi ukugqoka imifaniswano engekho esimweni nokubuye bahambe ngezinyawo uma beya esikoleni.,It will now be a thing of the past for these students to wear worn out uniforms and walk to school barefooted.,Newspaper
"Sisamangele sonke ngalesi sigameko sikaPhungula,” kusho uMnu Ntombela.","""We are all still shocked by Phungula's incident,” said Mr Ntombela.",Newspaper
"Isithombe: THEMBA KHUMALO Le paki ebisiguge ngendlela exakayo njengamanje isifakwe izinto eziningi ezintsha okubalwa kuzo indawo yokudlala i-basketball, i-netball, ithenisi kanye ne-volleyball.","Picture: THEMBA KHUMALO This incredibly old park is now equipped with many new features including basketball, netball, tennis and volleyball courts.",Newspaper
"Leli thimba elaziwa ngokuthi yi-Urban Management Forum, eliholwa yi-Area Based Management Unit, lihlose ukubhekana nezingqinamba zokulethwa kwezidingongqangi kuleya ndawo.","The team, known as the Urban Management Forum, led by the Area Based Management Unit, aims to address service delivery issues in that area.",Newspaper
Ngicabanga ukuthi kufanele ukuthi ngikugcizilele ukuthi kunohlelo ouilandelwayo uma kuqokwa umuntu kungaba ukhubazekile noma akakhubazekile.,I think I should emphasize that there is a process to be followed when appointing a person whether he or she is living with a disability or not.,Newspaper
"Ukunqoba-ke sasingeke sikuzuze.""","""We would not have gotten the victory. """,Novel
Uthe i-SDB ABM idinga ukunconywa ngekwenzile njengoba ikwazile ukuhlanganisa iminyango eyahlukene.,He said SDB ABM needed to be commended for what it had done as it had been able to bring together various departments.,Newspaper
Uphinde wanikela nge ngesihlalo esinama sondo kumhlali othole indlu. �Sizimisele ngokuthuthukisa izindawo ezisemakhaya njengoba nibona ukuthi sekukhona izindlu zomxhaso kulezi zindawo.,He also donated a wheelchair to a resident who got the house. �We are committed to developing rural areas as you can see that there are now RDP houses in these areas.,Newspaper
Abanemibuzo kufanele baxhumane noMnu.,Those with questions should contact Mr.,Newspaper
URabilal washona kanye nabanye ozakwabo kulokhu kuhlasela.,Rabilal was killed along with his colleagues in this attack.,Newspaper
"AMAPULANI angabonwa ngezikhathi zomsebenziehhovisi lika Head: Real Estate, 15th Floor, 75 Dr Langalibalele Dube (Winder) Street, eThekwini.","PLANS can be viewed during office hours at the Head's office: Real Estate, Room 1702, 15th Floor, 75 Dr Langalibalele Dube (Winder) Street, Durban.",Newspaper
Essential Requirements: �Relevant 3 year tertiary qualification e.g.,Essential Requirements: �Relevant 3 year tertiary qualification e.g.,Newspaper
Njengamanje izinga lamanzi edamini i-Midmar selehle laze langu-46%.,"Currently, the water level in the Midmar dam has dropped to 46%.",Newspaper
Lesi senzo sidale isiminyaminya kwaphazamiseka nokuhamba kwezimoto.,The incident caused traffic congestion and disrupted traffic flow.,Newspaper
Romita Hanuman Ukulin gana ngokobulili kuyingxeneye ebalulekile ezinhlelweni zikaMasipala kanti lokhu kuyagqama futhi oHlelweni Lokulingana Kwabasebenzi (EPP).,Romita Hanuman Gender equality is an important part of the Municipality's plans and this is also reflected in the Employment Equity Program (EPP).,Newspaper
"Umhlangano wokuchaza ngomsebenzi, okuyimpoqo ukuwethamela, uzoba ngo-11:00, mhla ka 29 Agasti 2012, eRoom 213, 2nd Floor, ETA Building, 30 Archie Gumede Place.","A compulsory service meeting, compulsory attendance, will be held at 11:00, 29 August 2012, in Room 213, 2nd Floor, ETA Building, 30 Archie Gumede Place.",Newspaper
Isithombe: THEMBA KHUMALO SLINDILE MALULEKA UMasipala weTheku usunxuse izakhamizi ukuthi zisebenzise ugesi kulobusika ngendlela enobuhlakani ukuvimbela ukunqamuka nokucima kukagesi.,Picture: THEMBA KHUMALO SLINDILE MALULEKA The eThekwini Municipality has urged residents to use electricity wisely this winter in order to prevent load shedding.,Newspaper
"Usonkontileka unikwa umsebenzi aze aqede uhlelo,� kusho uMoonsamy.","The contractor is given the job until the project is completed, � said Moonsamy.",Newspaper
UMasipala usuwenze uhlelo lokuqinisekisa ukuthi abavakashi bayakujabulela ukuba kulelidolobha futhi bazohlezi bekhumbula ukuza khona.,The Municipality has made a plan to ensure that tourists enjoy being in this city and will always remember to visit it.,Newspaper
Kuyohlezi kuyigugu kithina njengoMasipala weTheku ukuba yingxenye yomlando kaMadiba nokuthi iDolobha lethu nalo libalulekile uma kuchazwa ngomlando nezikhathi ezibalulekile empilweni kaMadiba.,It will always be important for us as eThekwini Municipality to be part of Madiba's history and that our City is also important when it comes to the history and important times in Madiba's life.,Newspaper
"Kulezizinsuku, kucoshwe udoti ongamathani amaningi kakhulu njengoba kutholakale emabhizinisi angekho emthethweni.","These days, tons of garbage have been picked up as found in illegal businesses.",Newspaper
"Ikhophi yesikhalazo iyobe isidluliselwa kuSihlalo weBid Adjudication Committee, ozobe esebhala impendulo esikhathini esiyizinsuku eziyisikhombisa. 3.","A copy of the complaint will be forwarded to the Chairperson of the Bid Adjudication Committee, who will write a response within seven days. 3.",Newspaper
"UN kosi uhambe nemali enguR50 000, iziphaqulo, imoto yohlobo lweKia Durban South kanti uzophinde abe yinxusa likaMasipala weTheku isikhathi esiwunyaka.","Nkosi walked away with R50 000, cosmetics, a Kia car from Durban South and will also be an ambassador for the eThekwini Municipality for a year.",Newspaper
"U-MAC MAHARAJ UMac Maharaj owayengumkhulumeli wehhovisi likaMengameli, waqala ukuzibandakanya nezombusazwe esangumfundi eThekwini.","MAC MAHARAJ Mac Maharaj, a former Presidential spokesman, began his political career as a student in Durban.",Newspaper
"Uthishanhloko waseVelabahleke uZamani Siyothula ubonge abazali, uMasipala namalungu omphakathi ngokusiza ukuhlanza isikole. �Izigebengu bezintshontsha izimpahla bese bezifihla kulelihlathi.","Velabahleke Principal, Zamani Siyothula, thanked the parents, the municipality and the members of the community for helping to clean the school. �Criminals stole goods and hid them in this forest.",Newspaper
Ziningi ezinye izinyathelo esizithathile singuMkhandlu.,There are many other steps that we have taken as Council.,Newspaper
"UMNYANGO wezeMpilo kuMasipala weTheku unemitholampilo engu-60, imitholampilo engumahambanendlwana engu-14 nezikhungo zezempilo ezibizwa ngama health check post ezingu-22.","THE Department of Health has 60 clinics, 14 mobile clinics and 22 health check posts in the EThekwini Municipality.",Newspaper
UGumede uchome uhlelo lwemisebenzi yomphakathi uphaphe legwalagwala ngomsebenzi walo omuhle ekudaleni amathuba emisebenzi.,Gumede praised the public works program for its good work in creating jobs.,Newspaper
France Mofokeng LifeLine Durban SICELA ukunazisa ukuthi amafomu okufaka izicelo zeGrants in Aid awekho okwamanje.,France Mofokeng LifeLine Durban We would like to let you know that the Grants in Aid application forms are not available for now.,Newspaper
